tiempo,curva1,curva2,prediccion,error
0,17.61,17.55,17.5156,0.0343857
2.12,17.71,17.55,17.612,0.062006
3.06,17.68,17.77,17.7094,0.0606174
4.16,17.62,17.72,17.6748,0.0451508
4.93,17.8,17.54,17.6767,0.136715
6.09,17.74,17.69,17.7068,0.0168056
6.57,17.67,17.59,17.6115,0.0214806
12.72,17.6,17.63,17.5803,0.0497246
18.95,17.35,17.23,17.5462,0.316153
20.2,17.37,17.37,17.5474,0.177414
26.32,17.2,17.3,17.5019,0.201946
26.58,17.31,17.29,17.5504,0.260368
28.48,17.38,17.48,17.5024,0.0223522
28.91,17.47,17.36,17.5172,0.157225
29.71,17.47,17.62,17.4773,0.142714
31.44,17.52,17.49,17.465,0.0249882
31.65,17.43,17.49,17.4811,0.00893211
37.52,17.53,17.5,17.4653,0.0347195
38.66,17.53,17.58,17.485,0.0950203
39.98,17.58,17.48,17.4687,0.0112782
41.01,17.59,17.41,17.4651,0.0551395
41.92,17.52,17.44,17.4709,0.0309105
43.08,17.45,17.43,17.4956,0.0656033
48.78,17.12,17.08,17.3376,0.257614
50,16.97,17.19,17.3363,0.146296
